work_id,field,current_in_primer,should_be,evidence_source,reason
KG-1000,materials,,Opaque Watercolor on Paper,match_workbook,(filled from match_workbook)
KG-1001,materials,,Opaque watercolor heightened with gold on paper,match_workbook,(filled from match_workbook)
KG-1002,materials,,Gouache and gold on paper,match_workbook,(filled from match_workbook)
KG-1003,materials,,Opaque watercolor heightened with gold on paper,match_workbook,(filled from match_workbook)
KG-1004,materials,,Opaque watercolor heightened with gold on paper,match_workbook,(filled from match_workbook)
KG-1006,materials,,Sandstone,match_workbook,(filled from match_workbook)
KG-1007,materials,,Stucco,match_workbook,(filled from match_workbook)
KG-1008,materials,,Gray Schist,match_workbook,(filled from match_workbook)
KG-1009,materials,,Blue Grey Schist,match_workbook,(filled from match_workbook)
KG-1010,materials,,Schist,match_workbook,(filled from match_workbook)
KG-1011,materials,,Watercolor on Whatman paper,match_workbook,(filled from match_workbook)
KG-1012,medium,Jade-hilted and jeweled Khanjar,Jade-hilted dagger with steel blade,auto_resolution,Khanjars are jade-hilted daggers with steel blades.
KG-1012,materials,,Jade-hilted and jeweled Khanjar,match_workbook,(filled from match_workbook)
KG-1013,materials,,Opaque watercolor heightened with gold on paper,match_workbook,(filled from match_workbook)
KG-1014,materials,,Bronze with polychrome,match_workbook,(filled from match_workbook)
KG-1015,materials,,Opaque watercolor heightened with gold on paper,match_workbook,(filled from match_workbook)
KG-1016,materials,,Schist,match_workbook,(filled from match_workbook)
KG-1019,medium,Jade-hilted and gilt khanjar,Jade-hilted dagger with steel blade,auto_resolution,Khanjars are jade-hilted daggers with steel blades.
KG-1020,medium,Jade-hilted and jeweled khanjar,Jade-hilted dagger with steel blade,auto_resolution,Khanjars are jade-hilted daggers with steel blades.
KG-1021,classification,Painting,"Drawing, Collage or other Work on Paper",auto_resolution,Works on paper map to Artsy's Drawing/Collage category.
KG-1036,classification,Painting,"Drawing, Collage or other Work on Paper",auto_resolution,Works on paper map to Artsy's Drawing/Collage category.
